3000 3
 278      -3       -0.075  
 278      22       -0.105  
 278      47       -0.095  
 278      72       -0.075  
 278      97       -0.055  
 278      122      -0.045  
 278      147      -0.035  
 278      172      -0.025  
 278      197      -0.015  
 278      222      -0.005  
 278      247      -0.005  
 278      272      -0.015  
 278      297      -0.015  
 278      322      -0.025  
 278      347      -0.015  
 278      372      -0.025  
 278      397      -0.045  
 278      422      -0.075  
 278      447      -0.105  
 303      -253     -0.095  
 303      -228     -0.065  
 303      -203     -0.045  
 303      -178     -0.035  
 303      -153     -0.035  
 303      -128     -0.055  
 303      -103     -0.065  
 303      -78      -0.055  
 303      -53      -0.055  
 303      -28      -0.065  
 303      -3       -0.095  
 303      22       -0.125  
 303      72       -0.115  
 303      97       -0.095  
 303      122      -0.075  
 303      147      -0.055  
 303      172      -0.045  
 303      197      -0.025  
 303      222      -0.015  
 303      247      -0.005  
 303      272      -0.015  
 303      297      -0.025  
 303      322      -0.045  
 303      347      -0.045  
 303      372      -0.055  
 303      397      -0.065  
 303      422      -0.095  
 303      447      -0.125  
 328      -253     -0.115  
 328      -228     -0.085  
 328      -203     -0.065  
 328      -178     -0.055  
 328      -153     -0.055  
 328      -128     -0.085  
 328      -103     -0.085  
 328      -78      -0.085  
 328      -53      -0.085  
 328      -28      -0.095  
 328      -3       -0.115  
 328      122      -0.115  
 328      147      -0.085  
 328      172      -0.065  
 328      197      -0.035  
 328      222      -0.025  
 328      247      -0.015  
 328      272      -0.015  
 328      297      -0.025  
 328      322      -0.045  
 328      347      -0.075  
 328      372      -0.095  
 328      397      -0.105  
 328      422      -0.125  
 353      -228     -0.115  
 353      -203     -0.095  
 353      -178     -0.085  
 353      -153     -0.095  
 353      -128     -0.125  
 353      -103     -0.115  
 353      -78      -0.115  
 353      -53      -0.115  
 353      -28      -0.125  
 353      147      -0.125  
 353      172      -0.085  
 353      197      -0.055  
 353      222      -0.035  
 353      247      -0.025  
 353      272      -0.025  
 353      297      -0.035  
 353      322      -0.045  
 353      347      -0.075  
 353      372      -0.105  
 378      172      -0.115  
 378      197      -0.075  
 378      222      -0.045  
 378      247      -0.045  
 378      272      -0.035  
 378      297      -0.045  
 378      322      -0.065  
 378      347      -0.085  
 378      372      -0.115  
 403      197      -0.095  
 403      222      -0.075  
 403      247      -0.065  
 403      272      -0.065  
 403      297      -0.065  
 403      322      -0.085  
 403      347      -0.105  
 403      372      -0.125  
 428      197      -0.125  
 428      222      -0.105  
 428      247      -0.085  
 428      272      -0.085  
 428      297      -0.095  
 428      322      -0.105  
